topic,verse_ref,verse_content
acknowledge,1 John 4:15,"If anyone acknowledges that Jesus is the Son of God, God lives in them and they in God."
acknowledge,Hebrews 10:23,"Let us hold unswervingly to the hope we profess, for he who promised is faithful."
acknowledge,Philippians 2:11,"And every tongue acknowledge that Jesus Christ is Lord, to the glory of God the Father."
acknowledge,Lamentations 3:24,"I say to myself, “The Lord is my portion; therefore I will wait for him.”"
acknowledge,Romans 10:10,"For it is with your heart that you believe and are justified, and it is with your mouth that you profess your faith and are saved."
acknowledge,Romans 14:11,"It is written: ‘As surely as I live,’ says the Lord, ‘every knee will bow before me; every tongue will acknowledge God.’"
acknowledge,Romans 10:9,"If you declare with your mouth, “Jesus is Lord,” and believe in your heart that God raised him from the dead, you will be saved."
acknowledge,1 Timothy 6:12,Fight the good fight of the faith. Take hold of the eternal life to which you were called when you made your good confession in the presence of many witnesses.
acknowledge,Psalm 32:5,"Then I acknowledged my sin to you and did not cover up my iniquity. I said, “I will confess my transgressions to the Lord.” And you forgave the guilt of my sin."
acknowledge,Psalm 24:10,"Who is he, this King of glory? The Lord Almighty— he is the King of glory."
acknowledge,Revelation 3:5,"The one who is victorious will, like them, be dressed in white. I will never blot out the name of that person from the book of life, but will acknowledge that name before my Father and his angels."
acknowledge,1 John 2:23,No one who denies the Son has the Father; whoever acknowledges the Son has the Father also.
acknowledge,1 John 4:2-3,"This is how you can recognize the Spirit of God: Every spirit that acknowledges that Jesus Christ has come in the flesh is from God, but every spirit that does not acknowledge Jesus is not from God. This is the spirit of the antichrist, which you have heard is coming and even now is already in the world."
addiction,1 Corinthians 6:12,"“I have the right to do anything,” you say—but not everything is beneficial. “I have the right to do anything”—but I will not be mastered by anything."
addiction,1 Corinthians 10:13,"No temptation has overtaken you except what is common to mankind. And God is faithful; he will not let you be tempted beyond what you can bear. But when you are tempted, he will also provide a way out so that you can endure it."
addiction,Matthew 26:41,"Watch and pray so that you will not fall into temptation. The spirit is willing, but the flesh is weak."
addiction,Galatians 5:1,"It is for freedom that Christ has set us free. Stand firm, then, and do not let yourselves be burdened again by a yoke of slavery."
addiction,Romans 6:5-6,"For if we have been united with him in a death like his, we will certainly also be united with him in a resurrection like his. For we know that our old self was crucified with him so that the body ruled by sin might be done away with, that we should no longer be slaves to sin."
addiction,James 4:7,"Submit yourselves, then, to God. Resist the devil, and he will flee from you."
addiction,Titus 2:11-12,"For the grace of God has appeared that offers salvation to all people. It teaches us to say “No” to ungodliness and worldly passions, and to live self-controlled, upright and godly lives in this present age."
addiction,1 John 2:16,"For everything in the world—the lust of the flesh, the lust of the eyes, and the pride of life—comes not from the Father but from the world."
addiction,John 8:34,"Jesus replied, “Very truly I tell you, everyone who sins is a slave to sin.”"
addiction,James 1:3,Because you know that the testing of your faith produces perseverance.
addiction,Matthew 6:13,"And lead us not into temptation, but deliver us from the evil one."
addiction,John 8:36,"So if the Son sets you free, you will be free indeed."
addiction,1 Corinthians 6:19-20,"Do you not know that your bodies are temples of the Holy Spirit, who is in you, whom you have received from God? You are not your own; you were bought at a price. Therefore honor God with your bodies."
addiction,Matthew 5:13,"You are the salt of the earth. But if the salt loses its saltiness, how can it be made salty again? It is no longer good for anything, except to be thrown out and trampled underfoot."
addiction,John 8:31-32,"To the Jews who had believed him, Jesus said, “If you hold to my teaching, you are really my disciples. Then you will know the truth, and the truth will set you free.”"
